Categoria,Numero,RazonSocial,NombreComercial,RFC,Sucursal,Telefonos,Banco,Cuenta_CLABE,DiasDeCredito,MontoCredito,Comentarios,Email,Calle,NoExt,IntExt,Colonia,Localidad,CP,Ciudad,Estado,Pais
FERRETERIA,1198,POLYSNOP,POLYSNOP,POL970812MN7,,MIREYA GARCÍA 55 2531 6342,,,0,0.0000,,magarcia@rafia.com.mx,INDEPENDENCIA,10,,BARRIO DE LA CONCEPCION,,54900,Tultitlán,México,México
MAT LIMPIEZA,1117,POPULAR ABARROTERA DE LEON S.A. DE C.V.,POPULAR ABARROTERA DE LEON S.A. DE C.V.,PAL000621437,,,,,0,0.0000,,,,,,,,,,,
EMPAQUE,1118,PROCOSA,PROCOSA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
FERRETERIA,1185,PRODUCTOS Y SERVICIOS DE ELECTROMECANICA Y AUTOMATIZACION,PROSEA,PSE171020598,,55 6891 1849,,,0,0.0000,,contacto@prosea.com.mx,PINOS,: 3 MZ 20 LT 6,,BOSQUES DE IXTACALA,,52919,Atizapán de Zaragoza,México,México
COMPUTO,1119,PROESBA,PROESBA,PRO870213UF8,,,,,0,0.0000,,,,,,,,,,,
FERRETERIA,1120,"PROFENAL, ELECTRON","PROFENAL, ELECTRON",XAXX010101000,,,,,30,0.0000,,,,,,,,,,,
MAT LABORATORIO,1121,PROLAB,PROLAB,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1122,PROLIMPI,PROLIMPI,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LIMPIEZA,1123,PROLIMPIEZA SA DE CV,PROLIMPIEZA,PRO020416FN7,,442 338 2152,,,0,0.0000,,cpcqro@prolimp.com,Calle Acceso III 16-A 16,16-A 16,,Zona Ind. Benito Juarez,Querétaro,76120,Querétaro,Querétaro,México
FERTILIZANTES,1124,PRONAMEX,PRONAMEX,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1125,PROSUTT ECOQUIM SA DE CV,PROSUTT ECOQUIM SA DE CV,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT CURACION,1126,PROVEEDORA MEDICA HOSPITALARIA,PROVEEDORA MEDICA HOSPITALARIA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LABORATORIO,1127,PROVEISA,PROVEISA,PRO1604261R4,,,,,0,0.0000,,,,,,,,,,,
MAT LABORATORIO,1128,QUIMICA 20,QUIMICA 20,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1129,QUIMICA BOSS,QUIMICA BOSS,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1130,QUIMISA,QUIMISA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
FERRETERIA,1182,R.S. HUGHES CO. INC,RS HUGHES,RSH940913EC6,,"442 240 96 27 , 442 240 9546",,,0,0.0000,,queretaro@rshughes.com,CARRETERA ESTATAL,500,,SANTA ROSA DE JAUREGUI,,38700,Querétaro,Querétaro,México
VARIOS,1224,REJILLAS Y SUMINISTROS INDUSTRIALES MADRID,REJILLAS Y SUMINISTROS INDUSTRIALES MADRID,RSI230609G15,,442 877 9550,,,0,0.0000,,atencionalcliente@madridrejillas.com,PARCELA,192,Z 1 P1 2,SANTA ROSA DE JAUREGUI,,76220,Querétaro,Querétaro,México
EPP,1193,RETRYVER,RETRYVER,RET180801G32,,GERARDO VALADEZ 4621509323,BBVA Bancomer,,0,0.0000,,pedidos@retryver.com.mx,CLOUSTER IND LOGISTICS,19,,OTRA NO ESPECIFICADA,EL ESPEJO,36100,Silao,Guanajuato,México
EPP,1131,RETRYVER,RETRYVER,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
EPP,1132,RIVERLINE,RIVERLINE,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
COMPONENTES,1225,RODAMIENTOS Y ACCESORIOS,RYASA,RAC870406P40,,Diana Karen Lopez Juarez  477 304 8564,,,0,0.0000,,mostrador.leon@ryasa.com.mx,AVE. NOGALAR SUR,107,,CUAUHTEMOC,,66450,San Nicolás de los Garza,Nuevo León,México
FERRETERIA,1183,RODAMIENTOS Y REFACCIONES DEL CENTRO,RODAMIENTOS Y REFACCIONES DEL CENTRO,RRC880620LC4,,6272255,,,0,0.0000,,ryrce@yahoo.com.mx,Insurgentes,217,,Fracc. la Paz,Irapuato,36560,Irapuato,Guanajuato,México
REACTIVOS,1133,RODVAL,RODVAL,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
UNIFORMES,1134,ROPA PERRONA,ROPA PERRONA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
FERRETERIA,1135,RS,RS,XAXX010101000,,,,,15,0.0000,,,,,,,,,,,
BOTES,1136,SABLON,SABLON,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
VARIOS,1137,SAMS,SAMS,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT CURACION,1138,SEDIMEX,SEDIMEX,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
,1175,SERVI NEUMATICOS,SERVI NEUMATICOS,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
ACERO,1139,SERVIACERO,SERVIACERO,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
,1189,SERVICIO CABRERA,SERVICIO CABRERA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
VEHICULOS,1140,SERVICIO CABRERA S.A. DE C.V.,SERVICIO CABRERA S.A. DE C.V.,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
VEHICULOS,1141,SERVINEUMATICOS,SERVINEUMATICOS,XAXX010101000,,,,,30,0.0000,,,,,,,,,,,
EPP,1142,SESHIR,SESHIR,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
VARIOS,1143,SORIANA,SORIANA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
GUANTES,1144,SPONYA,SPONYA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
COMPONENTES,1222,STAUBLI MEXICO,STAUBLI,SME950602KB5,,Lorena Briones 4426126980,,,0,0.0000,,l.briones@staubli.com,CALLE 1,210,9 Y 10,PARQUE INDUSTRIAL JURICA,,76127,Querétaro,Querétaro,México
VARIOS,1181,STEAM INGENIERIA,STEAM INGENIERIA,SIN0201298S1,,33 3115 9690,,,0,0.0000,,jarellano@steamingenieria.com.mx,CALLE PASEO DE LAS ACACIAS,1400,,TABACHINES,ZAPOPAN,45188,Zapopan,Jalisco,México
FERRETERIA,1145,STEREN,STEREN,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MEDICAMENTOS,1146,SUFARMED,SUFARMED,SUF09101994A,,REYNA BUENO ORTIZ (477) 761 11 02,,,30,0.0000,,reyna.atencionclientes@sufarmed.com,AVENIDA OLIMPICA,2123,,AMPLIACION SN FCO. DE ASIS,,37294,León,Guanajuato,México
FERRETERIA,1180,SUMINISTROS ELECTRICOS E INDUSTRIALES EN VARIADORES DE VELOCIDAD,SEIVARSA,SEI161114ICA,,55 7811 9045,,,0,0.0000,,blanca@seivarsa.com.mx,Independencia,40,,5 de Mayo,Tecamac,55749,Tecámac,México,México
QUIMICOS,1147,SUPER AEROSOL G2 S.A DE C.V,SUPER AEROSOL G2 S.A DE C.V,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LIMPIEZA,1148,SUPER GEL,SUPER GEL,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT CURACION,1150,SURTIDORA HOSPITALARIA,SURTIDORA HOSPITALARIA,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1151,SWIPE IRAPUATO,SWIPE IRAPUATO,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
DESECHABLES,1152,TERMOFILM Y ESPUMADOS  LEON SA DE CV,TERMOFILM Y ESPUMADOS  LEON SA DE CV,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
TELA,1153,TEXTILES SAN JOSE,TEXTILES SAN JOSE,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
PAPELERIA,1154,TOTAL PRINT,TOTAL PRINT,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LIMPIEZA,1155,TRAPOTEX,TRAPOTEX,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LIMPIEZA,1156,TRAVERS,TRAVERS,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
ACERO,1157,TUBERIA PLACA Y ACERO SA DE CV,TUBERIA PLACA Y ACERO SA DE CV,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
UNIFORMES,1158,UNITAM,UNITAM,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1108,UNIVAR SOLUTIONS,LIQUITINT,XAXX010101000,,"T(55) 11070170, Amayrani García 5548339739 amayrani.garcia@univarsolutions.com",,,0,0.0000,,,Av. Xola,535,Piso 6,Col. Del Valle Norte,,03103,Benito Juárez,Ciudad de México,México
VARIOS,1159,UNLINE,UNLINE,XAXX010101000,,,,,30,0.0000,,,,,,,,,,,
MAT CURACION,1160,VACNOR,VACNOR,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LABORATORIO,1161,VELAQUIN,VELAQUIN,XAXX010101000,,,,,30,0.0000,,,,,,,,,,,
EPP,1162,VIALYTEC,VIALYTEC,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT LABORATORIO,1163,VIRESA,VIRESA,XAXX010101000,,,,,30,0.0000,,,,,,,,,,,
VARIOS,1164,WALMART,WALMART,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
UNIFORMES,1165,ZAOLI,ZAOLI,XAXX010101000,,,,,30,0.0000,,,,,,,,,,,
